Akkermansiaceae [Family],Prevotellaceae [Family],Bacteroidaceae [Family],Muribaculaceae [Family],Marinifilaceae [Family],Tannerellaceae [Family],Rikenellaceae [Family],Desulfovibrionaceae [Family],Deferribacteraceae [Family],Enterobacteriaceae [Family],Butyricicoccaceae [Family],Peptococcaceae [Family],Ruminococcaceae [Family],Acholeplasmataceae [Family],Anaerovoracaceae [Family],Eggerthellaceae [Family],Lachnospiraceae [Family],Bifidobacteriaceae [Family],Sutterellaceae [Family],Monoglobaceae [Family],Oscillospiraceae [Family],Lactobacillaceae [Family],Enterococcaceae [Family],Clostridiaceae [Family],Erysipelotrichaceae [Family],Erysipelatoclostridiaceae [Family]
0,10.45096838,11.54647917,98.63956546,1.417343338,0.241770008,13.3109871,3.661127071,1.802017676,0,3.972748275,1.227586803,15.2050866,0,0.784094299,1.933747703,244.256128,0,2.912652028,0,33.65294235,18.16391496,0,0,4.345935707,0
0,13.62617963,12.56954733,98.01307951,1.111087845,0.774615609,12.86141931,4.817480127,0.163706526,0,4.562001195,1.069415149,25.48331487,0.163706526,1.807564163,1.899600609,226.5001731,0,0.354761763,0,43.19857791,28.03113071,0,0,3.490255979,0
0,11.78971573,19.34624106,121.4219465,2.105106885,1.106578055,19.82702408,4.028446077,0,0,5.831279721,2.105106885,11.19222876,0,1.197549833,3.763753522,179.217877,0,2.199457266,2.753403499,34.4484511,33.62096106,0,0,3.950933576,0
0,11.01343145,11.74603876,116.4481504,0.115910256,0,11.96202254,2.9491236,0.316580951,0.751899023,3.241695658,0,9.468071434,0,1.137561504,0,224.6176237,0,1.137561504,1.47403374,29.25933097,18.55538079,0,1.137561504,1.810505977,0
0,10.92197455,12.51362951,85.6825466,1.0744121,0,16.38030728,4.529080413,3.427428047,0,6.014136922,1.598936568,16.80547936,1.750167538,1.594249194,0.540329614,208.8362516,0,1.0744121,0,46.62052649,29.37469752,0,0.272065628,2.434504089,0
0,15.19536507,15.6212987,108.6912251,1.216718446,1.632878843,11.668122,4.104221453,0,0,3.303950606,1.496303308,13.64400216,0,1.446292888,1.5544239,211.4604153,0,1.813505358,0,41.097975,23.8489024,0,0,3.560383565,0
0,11.46344094,8.964680726,94.44473002,1.877328711,1.306783853,18.13034846,3.663225451,2.154081713,0,5.567786041,2.455406562,15.32528477,0,1.366377609,2.016268484,233.9053897,0,0,0,38.6953546,23.61566722,0,0.687744645,1.010518037,0
0,12.9807871,14.09912959,97.69970983,1.65286477,1.360954362,17.73313092,7.479139568,2.300696754,0,6.138994096,0.502292743,15.81623576,0,3.042378492,1.21524255,224.7974537,0,0.327939355,0,35.97903237,23.62078137,0,0,1.956245752,0
0,5.202823468,10.49672469,57.77571163,0.712392736,0.712392736,6.006187982,5.604669556,3.420442937,0,3.414073489,0.886746123,16.00425156,0.963707165,2.416608494,1.16437786,288.4389257,0,0,0,49.4551981,18.35792254,0,0,2.282990815,0
0,7.233020582,12.23386891,76.20734572,1.865368527,0.7859876,11.59337075,3.87312634,2.207373281,0,7.271698391,1.162465171,10.43825976,0.063852883,1.864020093,0.841557451,268.31718,0,0.944211605,0,38.77721374,28.85201969,0,0.063852883,1.78451643,0
0,3.179291638,8.975811796,40.98290342,1.160885987,0,8.231060294,7.296057407,2.359581734,0,6.952998615,2.327320872,16.3135569,0,3.01906567,2.696292278,257.8769244,0,0,0,45.53214268,16.70167909,0,0,1.650434212,0
0,11.57739443,15.71222065,106.7272965,1.50882381,2.80253624,17.86130651,5.337256596,3.378141514,0,4.088551762,2.887020961,19.82779176,0,4.321629717,4.051050565,196.83979,0,1.924984207,0,55.86427251,16.12638792,0,0,2.365296047,0
0,11.10871963,15.29959741,118.0199036,0.624374277,0.835683371,11.56176527,6.311204329,3.363314965,0,6.799062546,2.40628145,16.42004182,0,2.596443202,2.279797303,206.790541,0,0.499211134,0,54.87930271,22.5612906,0,0,4.848380727,0
0,3.828541258,10.34304063,49.61440026,0.778975228,0,13.28042609,6.144505545,1.988813152,0,8.01483942,2.088896611,12.75679677,0,2.877165586,3.932292763,271.8901452,0,0,1.313057714,36.34370512,24.15521428,0,0,2.690694013,0
